,Message,Label
3572,But you dint in touch with me.,0
1021,"Good afternoon on this glorious anniversary day, my sweet J !! I hope this finds you happy and content, my Prey. I think of you and send a teasing kiss from across the sea coaxing images of fond souveniers ... You Cougar-Pen",0
65,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",1
460,Going thru a very different feeling.wavering decisions and coping up with the same is the same individual.time will heal everything i believe.,0
733,Lol you won't feel bad when I use her money to take you out to a steak dinner =D,0
588,Pete can you please ring meive hardly gotany credit,0
2603,So when you gonna get rimac access ,0
2003,TheMob>Yo yo yo-Here comes a new selection of hot downloads for our members to get for FREE! Just click & open the next link sent to ur fone...,1
2348,But i dint slept in afternoon.,0
3134,So no messages. Had food?,0
2500,Yup i've finished c ü there...,0
1790,Takin a shower now but yeah I'll leave when I'm done,0
1803,Ok lor thanx... Ü in school?,0
1577,No. To be nosy I guess. Idk am I over reacting if I'm freaked?,0
2598,"Got fujitsu, ibm, hp, toshiba... Got a lot of model how to say...",0
3862,Free Msg: Ringtone!From: http://tms. widelive.com/index. wml?id=1b6a5ecef91ff9*37819&first=true18:0430-JUL-05,1
3894,Have you heard from this week?,0
4004,somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true... goodnite &amp; sweet dreams,0
4337,"Fyi I'm taking a quick shower, be at epsilon in like  &lt;#&gt;  min",0
2690,"Ya ok, vikky vl c witin  &lt;#&gt; mins and il reply u..",0
2863,Adult 18 Content Your video will be with you shortly,1
2466,S.i think he is waste for rr..,0
796,it's really getting me down just hanging around.,0
3107,"I had been hoping i would not have to send you this message. My rent is due and i dont have enough for it. My reserves are completely gone. Its a loan i need and was hoping you could her. The balance is  &lt;#&gt; . Is there a way i could get that from you, till mid march when i hope to pay back.",0
2744,But my family not responding for anything. Now am in room not went to home for diwali but no one called me and why not coming. It makes me feel like died.,0
1733,"K, can that happen tonight?",0
3447,"Mon okie lor... Haha, best is cheap n gd food la, ex oso okie... Depends on whether wana eat western or chinese food... Den which u prefer... ",0
1049,I walked an hour 2 c u! doesnt that show I care y wont u believe im serious?,0
